Season,Time,NumPlayers,NumRookies
1951,1.3123273849487305,189,189
1952,1.1040141582489014,136,44
1953,1.08095383644104,162,50
1954,1.0245060920715332,135,44
1955,1.6889762878417969,130,44
1956,1.3500800132751465,108,37
1957,1.1590361595153809,115,28
1958,1.179063081741333,111,21
1959,1.3958690166473389,110,29
1960,1.2719309329986572,123,21
1961,1.1494510173797607,104,22
1962,1.4267148971557617,136,41
1963,1.3245439529418945,133,38
1964,1.2332031726837158,135,23
1965,1.5667691230773926,132,29
1966,1.3861091136932373,135,23
1967,1.128476858139038,133,32
1968,1.449207067489624,177,48
1969,1.5366430282592773,206,47
1970,1.845771074295044,201,33
1971,2.2977678775787354,245,69
1972,2.098832845687866,265,49
1973,1.9659769535064697,269,45
1974,1.8110811710357666,245,44
1975,1.822920799255371,276,54
1976,1.8781018257141113,274,56
1977,2.1008460521698,357,130
1978,2.0709969997406006,374,67
1979,1.8542709350585938,344,66
1980,1.8184750080108643,357,59
1981,2.0842857360839844,363,91
1982,2.232529878616333,373,73
1983,2.1106131076812744,391,74
1984,2.4267499446868896,343,58
1985,2.270975112915039,362,61
1986,2.417222738265991,379,72
1987,2.670353889465332,378,75
1988,2.6270360946655273,426,74
1989,3.057809829711914,438,94
1990,2.970478057861328,459,86
1991,3.419820785522461,441,82
1992,2.9813461303710938,458,68
1993,2.9384970664978027,449,73
1994,3.281330108642578,481,76
1995,3.0513758659362793,452,65
1996,4.012455940246582,545,77
1997,4.516136884689331,574,83
1998,4.827203273773193,547,74
1999,4.032469034194946,507,72
2000,4.947740793228149,496,66
2001,4.901507139205933,537,80
2002,4.114026069641113,500,79
2003,3.6609649658203125,483,76
2004,4.109686613082886,585,73
2005,4.2901530265808105,585,78
2006,4.198476076126099,563,90
2007,4.900767087936401,516,85
2008,4.20526909828186,595,73
2009,4.324812889099121,582,66
2010,4.7545459270477295,578,74
2011,5.434539079666138,625,83
2012,4.798169136047363,551,88
2013,4.660356044769287,573,85
2014,4.913570165634155,611,92
2015,5.9848644733428955,651,104
2016,6.066624164581299,578,79
2017,6.14766001701355,595,100
2018,6.838047981262207,664,126
2019,6.512054204940796,708,116
2020,5.471204996109009,624,121
